page,rating_overall,employment_status,review_title,review_link,review_date,employee_job,employee_loc,review_pros,review_cons,review_advice_mgmt,flag_incomplete,rating_components.Work/Life Balance,rating_components.Career Opportunities,rating_components.Compensation and Benefits,rating_components.Senior Management,summary_views.Recommend,summary_views.CEO Approval,summary_views.Business Outlook,supposed_n_reviews,Glassdoor Review Page,rating_components.Culture & Values
1,4.0,Former Employee,Immersion or Isolation?,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW31920.htm,"Jun 23, 2008",Assistant Merchant,"Columbus, OH","Abercrombie & Fitch provides an ideal workplace for recent graduates with aggressive career ambitions who are yet reluctant to surrender the familiarity and atmosphere of college.  The workplace is vibrant and frenetic, with high emphasis placed on individual responsibility, reactive strategy, cross-disciplinary teamwork, and brand integrity.  Most of the employees at corporate are well-educated, energetic, and--of course--quite good-looking.  Although workload varies on department and discipline, weekend work is rare.  Some opportunity for travel is available.  Finally, I must commend the Merchant Training program, which introduces new employees to the general structure of the business and gradually immerses them such that they can hit the ground running when they finally arrive at their desks.","A&F practices incessant brand immersion, which has its number of flaws.  Many of these are superficial: the A&F soundtrack plays throughout campus without pause, the entrance reeks of Fierce, everyone (except the designers) dresses completely in Abercrombie.  But some are not: conversation rarely extends beyond the subject of Abercrombie, all of the corporate employees spend time (read: party like frat stars) exclusively with one another, campus directs all attention inwards rather than out.  In other words, A&F breeds isolation, which can be detrimental both to personal and career perspective.

The other major problem is faulty relations between the business arm of the company and the creative side.","Generally, management at A&F is very strong.  Strategy at the highest level takes few risks--sometimes even when opportunity knocks.  Lack of brand differentiation leads to rampant cannibalization.",0,css-1areqgb,4,4,css-11rm5hs,positive,neutral,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
1,4.0,Current Employee,"Great for single, ambitious leaders willing to relocate for quick promotions",/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW59000.htm,"Aug 18, 2008",Store Manager,,"GREAT health and 401k benefits, cool and fun place of employment","random work hours, difficulty in taking personal days, vacation days are only seasonal, constant recruiting must be done to compensate for the high employee turnover rate, pay is unsatisfactory",The company does a great job in communicating how to run the business from home office using direct store contact and the 'trickle down theory' from top management.,0,css-z2gtf,css-1areqgb,3,css-1areqgb,positive,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
1,3.0,Former Employee,Life as a model,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW69005.htm,"Aug 29, 2008",Model,"Seattle, WA","For a regular sales person, the job is easy with little pressure. They are also flexible with hours and its easy to request time off. 30% discount on clothes 50% on select items each season.","Bad pay, but what you can you really expect. Little room for growth unless youve finished your college degree and even then pay is still bad.",Overall they are doing a good job. Company is doing quite well. They need to expand their style of clothing across their brands.,0,5,2,css-z2gtf,4,blank,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
1,4.0,Current Employee,Abercrombie & Fitch strong retailer - great place to work!,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW72389.htm,"Sep 4, 2008",Merchandising,"Columbus, OH","Creative,  fast paced environment that constantly pushes their employees.  The employees are smart and competitive people.  hey are all very passionate with their work and the company. They all have a lot of pride in what they do and the product that they deliver.  This company has a very entrepreneurial spirit and there are no limits to what they can do.  They have a great leader who is a visionary that can inspire them and push them to do their job better everyday.","Constant changes in what they do, which is what makes them successful, they never settle. Long hours, stressful.  Hard to have work, life balance.",Need to give feedback to employees and make more time to truly train people and retain them.,0,4,4,css-11rm5hs,5,positive,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
1,3.0,Current Employee,can be great but isn't necessarily so,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW72871.htm,"Sep 5, 2008",Assistant Manager,"Buford, GA",advancement.  discount.  great people at the peer level.,unrealistic view of day to day life in a store.  labor hrs not consistent with expectation.  pay not competitive.,"the store does not need to be in all markets.  needs to be more coherence in senior management when assigning tasks to store level.  hr should know what visual is planning, floorsets during the peak of holiday should be rescheduled.  why not set during 2nd or 3rd busiest week to take the stress off instead of setting during busiest week of year.  you can still capitalize on peak season without increased burn out.  look at  you voluntary terms for post holiday for proof.",0,3,css-11rm5hs,3,css-qt3l8j,blank,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
1,4.0,Former Employee,don't want college life to end? come work at abercrombie & fitch! (just don't work there for more than 2 years),/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW78264.htm,"Sep 11, 2008",Department Manager,"Los Angeles, CA","relaxed atmosphere, very social, given responsibilities right away. district managers get a jeep, a gas card, and a phone!","low pay and long hours, retail schedule (that means weekends and holidays), discrimination still rampant, no matter what they settlements of HR documents say. relocation often required. loud music. home office directives often do not reflect real store experiences...",remember that your employees are working for minimum wage... what are you doing to make them want to come to work every day and leave satisfied? develop your managers to make them want to take your job...,0,css-z2gtf,3,css-qt3l8j,css-qt3l8j,positive,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
1,3.0,Current Employee,"You'll love it here if you live to work, but not if you work to live.",/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW78749.htm,"Sep 12, 2008",Associate Textile Designer,"New Albany, OH","The pay is very good, the company is reputable and the opportunities for growth are promising.  They make a big deal about promotions (which happen frequently here - typically you get promoted after your first year) and promote you in front of the entire company.  There is a cool and ""casual"" work atmosphere (cool buildings, campus, cafe, and you get to wear jeans/tshirts every day).  During the summer they put razor scooters around campus (like.. 300 of them!!) so you can quickly get from one building to another.  I take one for a quick spin on a stressful day just to calm down :).  Oh, and, generous employee discount on store merchandise :).","There is a very disporportionate work/life balance.  Here, work always comes first.  Jobs here (at Home Office) are definitely not hourly jobs, so be prepared to work from 9am til 8pm...9pm... 10pm... 11pm... midnight... during certain times of the year.  It can be a very stressful work environment with a ""this NEEDS to get done... YESTERDAY"" mentality and pressure.  The music.  Good god - turn off that distractingly terrible music!!  This may be just a personal opinion of mine that counts as a downside... but... working for a company that has values/promotes things that I don't agree with (such as designing clothing for the abercrombie KIDS store with the mindset that the kid is 17 years old when clearly the customer is like, 10.)",Give POSITIVE feedback and encouragement to employees!  A negative/hopeless atmosphere does not promote creativity or a willingness to work hard.  Please support the work/life balance thing just a LIIIITTLE bit... please?  Life is about living... not about working.,0,3,5,css-1areqgb,css-11rm5hs,blank,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
1,3.0,Current Employee,Great People. Bad working conditions........,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW80946.htm,"Sep 16, 2008",Assistant Manager,"Los Angeles, CA","Co-Workers, hands down. The associates are the best looking and also make the day go by faster. Your fellow managers , you would want to get along with, as they will help you get the work done and pick up where you left off. Teamwork is KEY to running a store! The fact that you actually can SAY you work at ANF....How many people can say that they actually work for one of the best, if not the best retailer in the nation? Their business model and cult-like following is unparallel.","The pay sucks. Hands down. Also, there are blackout dates when you can and cannot take days off. Expect to have no life, as the different positions require you to work certain days, as dictated by Home Office and ""The Program""",Allow more flexibility and take into account that young people want to have lives outside of work.,0,1,css-11rm5hs,css-z2gtf,5,blank,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
1,3.0,Current Employee,Great entry level training opportunity but mid level management leadership is lacking,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW82396.htm,"Sep 17, 2008",Merchant,"Columbus, OH","this company offers a great entry-level training opportunity for those interested in retail, merchandising, or product management. you get to interact with all teams within the product life cycle like design, tech, concept, planning, etc...it also gives a very good glimpse of all aspects of the business - you have visibility to not only internal development but also vendor production overseas; daily interaction with vendors is a must in ensuring product delivery is timely and efficient. the people at the company are great to work with - everyone is young, nice, and social - a great adjustment for young people looking for a fun exciting place to work","columbus ohio is not the best city to live in and for a majority of the people who choose to leave the company, this is one of the biggest reasons. in addition, since abercrombie & fitch is such a frontrunner in the retail market targeting tweens=>young adults, the work life balance is not so great. standards are set very high and oftentimes there is not efficient management in making sure that employees get out at appropriate times. even though it is stressed that employees need to maintain this balance, the constant changes made by CEO and heads of departments makes this practically impossible. In addition, promotions are very subjective and dependent on areas/managers, etc, leading to uncertainty and decrease in morale when employees are expecting promotions.","I wish mid level management had much better training in leadership and team building. perhaps this is due to the fact that ANF does not give much weight to an MBA...much of mid level management has trickled up from entry-level positions. Many are unaware of important aspects of leadership such as task delegation, clear communication of expectations, and consistent feedback. Instead, many managers are mired in micromanagement of employees and unrealistic expectations of colleagues.",0,css-11rm5hs,css-11rm5hs,css-z2gtf,css-z2gtf,positive,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
1,3.0,Current Employee,"Great Job, Mediocre Salary",/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW84078.htm,"Sep 20, 2008",Brand Model,"Tacoma, WA","Abercrombie is a great place to work if you were going to be buying the clothes anyway, which make the employee discount rather handy.  The environment is fun and engaging yet can be hectic at times depending on the number of customers in the store.","Abercrombie & Fitch, Hollister Co, abercrombie, and Ruehl 925 are always continuously hiring.  This causes there to be few shifts available to Models (those that work on the sales floor) and Impacters (those that work in the stock room).  They also pay minimum wage and raises are extremely rare.","Hire when you need to, keep your employees happy and give them the option of working the amount of hours they want and then fill in the gaps with new employees.",0,3,css-z2gtf,css-z2gtf,css-11rm5hs,blank,neutral,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
