page,rating_overall,employment_status,review_title,review_link,review_date,employee_job,employee_loc,review_pros,review_cons,review_advice_mgmt,flag_incomplete,rating_components.Work/Life Balance,rating_components.Career Opportunities,rating_components.Compensation and Benefits,rating_components.Senior Management,summary_views.Recommend,summary_views.CEO Approval,summary_views.Business Outlook,supposed_n_reviews,Glassdoor Review Page
1,4.0,Former Employee,Sherwin-Williams Trains Good,/Reviews/Employee-Review-Sherwin-Williams-RVW2999.htm,"May 18, 2008",Lead Warehouser,"Hollister, MO",They train employees very well. Good pay. Good training cds.  Were good to work for the majority of he time.  Kept store fairly clean.,Working Sundays was a big downside. Over price things. I would guess around 60 percent margin mark up. I had to use my personal vehical for work related things. I felp like they should have reimbursed me for mileage or somethig like that. Too slow in advancing newer employees. Never had casual Friday or on weekends. Had problems with Payroll in giving me the money I was entitled to. No training on faux finishing so we could help custoers in that area.,He did a good job with what he was given. Needed not to talk bad about customers after they leave. Needed not o talk bad about the district supervisor.,0,css-1areqgb,3,4,4,positive,neutral,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
1,5.0,Former Employee,"Sherwin-Williams, a place to start and build a career",/Reviews/Employee-Review-Sherwin-Williams-RVW4483.htm,"Jun 2, 2008",Human Resources Generalist,"Cleveland, OH","Managers helped me realize career goals by openly discussing the path that I was interested in.  People are hired with future potential in mind, not just the job at hand.  I had an extremely positive experience and would recommend working there to anyone.  Although it is a huge corporatation it still feels like a family run business.",Many times in order to advance you must be open to relocate to a new city.,Continue to support the communities in which you serve and make it more known about the Green Initiatives that the company is participating in because there are many.,0,5,css-1areqgb,4,5,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
1,4.0,Current Employee,A good entry-level job,/Reviews/Employee-Review-Sherwin-Williams-RVW8371.htm,"Jun 11, 2008",Assistant Manager,"Vineland, NJ",There's a lot of growth potential in this company.,"This is a field where you start from the bottom 99% of the time. That means a lot of physical labor, hard work, and long retail hours. There's nothing wrong with working hard but a lot of people are surprised at how much is involved in this job. Also, this company stresses diversity but the field is predominantly white males. Very rarely are there minorities or women. They are trying their hardest to make it as diversified as possible, though.",n/a,0,4,4,3,4,blank,neutral,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
1,2.0,Current Employee,Your only as good as your last year sales,/Reviews/Employee-Review-Sherwin-Williams-RVW18596.htm,"Jun 13, 2008",Store Manager,,Job security and steady paycheck,Long hours and low salary increases,none.,0,3,2,2,3,blank,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
1,4.0,Current Employee,A good place for lifetime employees.,/Reviews/Employee-Review-Sherwin-Williams-RVW22085.htm,"Jun 15, 2008",Assistant Manager,"Mobile, AL","Coming right out of college, SW offers a reasonable salary and excellent benefits.  Being in a smaller store with great people allows for a very flexible schedule and an all around good working environment.  Running a store is just like running your own small business; the results of your labors can be seen.","Bonuses are allocated based on sales increases for the most part.  That would make every other year a good one.  The base salary is not justified without the bonuses.  There are a lot of part time employees working for this company, so if you are looking for benefits it may be a while before your chance comes around.",Don't hold a bad economy against us.,0,5,css-1areqgb,css-1areqgb,3,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
1,4.0,Current Employee,Sherwin Williams great place to start a career!,/Reviews/Employee-Review-Sherwin-Williams-RVW33754.htm,"Jun 25, 2008",Third Key Sales Associate,"Tacoma, WA",The people at Sherwin Williams are so helpfull not only to the employees but to our customers as well. We take pride in how we assist our contractors and the retail customers. Working for Sherwin Williams is like a second family! Everyone is willing to help out each other in any way we can!,"Summer time we work a lot of hours, but it pays off in the long run!","Great place to work. Something to look into MTP program, those of us who have been working very hard to move up don't really get a second look to an MTP.",0,5,css-1areqgb,4,4,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
1,5.0,Current Employee,A great place to work but no company is perfect,/Reviews/Employee-Review-Sherwin-Williams-RVW37275.htm,"Jul 1, 2008",Store Manager,"Paragould, AR","A great place for a self-motivated person to advance quickly. I have been with the company for 2.5 years and I am already a Store Manager and I have seen some people move even faster. Working for Sherwin Williams has been very challenging in a good way. You are requried to learn something just about everyday. Another great part is the amount of support they provide the people in the stores, any employee as experts they can call and books to review to answer any question possible. For a person just out of college who wants a more active career this is a great choice.",The biggest down side that I have seen since I have been with SW is that they have a problem with so many ineffective people being promoted or retaining jobs in middle management. Another downside to SW is the fact that Store importance is directly related to distance from the district office. This becomes an issue when it come to customer complaints and geting large projects off the ground. One small down side the the importance that upper management places on bonuses being used to supplement salary. I believe that a bonus is just that a bonus and my salary sould not be linked together.,They need to match their overall goals to what they implement in the field. What we are given and what is expected seem to be from two different business strateges,0,css-1areqgb,css-1areqgb,4,4,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
1,4.0,Current Employee,Sherwin,/Reviews/Employee-Review-Sherwin-Williams-RVW49835.htm,"Aug 1, 2008",Processor,"Cleveland, OH",They promote from within the company,"Very performance oriented, employees are expexted to produce",Give non degreed employees a chance to grow,0,5,5,css-1areqgb,4,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
1,2.0,Former Employee,Read between the lines,/Reviews/Employee-Review-Sherwin-Williams-RVW54774.htm,"Aug 10, 2008",Store Manager,"Atlanta, GA",They pay pretty well considering.,"Don't count on the bonus and don't be a victim to the ""salary"" amount they promise you. Sherwin-Williams bases your pay on what they call ""hourly-salary"" which means you are required to work a minimum amount of overtime each week. If you work less then that overtime (generally 48 hours/week) then you don't actually receive your full paycheck. Your annual salary is calculated on you actually working that 48 hour minimum work week. Know that going in and you will be much less disappointed.",Be upfront about work conditions and expectations. Give your subordinates obtainable and realistic goals and the means to achieve them. Don't come down on your employees for not meeting goals that you yourself knew were lofty and unrealistic.,0,1,2,4,1,negative,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
1,1.0,Former Employee,"A way to build character--you will be challenged mentally, emotionally, physically, and socially.",/Reviews/Employee-Review-Sherwin-Williams-RVW58798.htm,"Aug 18, 2008",Assistant Manager,"Atlanta, GA",The job is difficult and you will be forced to learn many different skills in order to stay ahead of the curve.,"Sometimes long but often very erratic hours while facing difficult customers. Painstakingly critical middle management offers negative feedback whenever convenient, and provides little in the way of tools to get the job done (i.e., extra part-time workers, etc. As far as warehousing goes, often a store would run out of space for inventory due to the limited square footage of the initial warehouse)","Make sure the leaders you have in place over the districts are positive, competent, and treat their workers with respect. When people rather than working conditions are chasing off good workers, it is time for a change in supervision.",0,2,3,3,css-z2gtf,negative,neutral,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
2,3.0,Current Employee,patience is key in our current economic condition.,/Reviews/Employee-Review-Sherwin-Williams-RVW61327.htm,"Aug 20, 2008",Wholesale Sales Product Specialist,"San Angelo, TX","competitive pay, international opportunities, company infastructure","store autonomy, beuacracy, slow talent recognition",i have seen many quality canidates move on to other careers because of a lack of recognizing the talent in house. the company should do more to recruit in the stores group.,0,4,3,css-11rm5hs,3,positive,neutral,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
2,4.0,Current Employee,Top places to work within the paint industry,/Reviews/Employee-Review-Sherwin-Williams-RVW75009.htm,"Sep 7, 2008",Sales,"Washington, DC",Long term stability of the company.  Leading brand,Decision making process is too cumbersome,Listen to the field,0,4,4,css-11rm5hs,css-z2gtf,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
2,5.0,Current Employee,Sherwin-Williams a great place to work.,/Reviews/Employee-Review-Sherwin-Williams-RVW82244.htm,"Sep 17, 2008",Sales Representative,"Warsaw, IN",Sherwin Williams has a positive corporate culture and through education assistance is willing to give you the skills to become what you would like to be.  I have had great mentoring from individuals in the company and that has been invaluable in making career path decisions.  We have some of the best benefits regarding 401K and pension contribution.  Additionally they have excellent training which is provided in a scheduled manner to make sure that everyone has the up to date information.  We also have cutting edge technology which facilitates the sales process.,There is very little downside.,Each business segment is different some of the strategies that implement very well in one division may not cross over well into the others.,0,5,5,css-1areqgb,5,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
2,5.0,Current Employee,Sherwin-Williams - A great place to work!,/Reviews/Employee-Review-Sherwin-Williams-RVW82659.htm,"Sep 18, 2008",PC/LAN Analyst,"Cleveland, OH","Working at Sherwin-Willams HQ, job security is excellent overall.  They are also fairly flexible with schedules and provide reimbursement for certifications and college coursework - both of which are often important to young professionals as well as managers looking to advance thru MBA programs.  On the business side, the culture is very lean and efficient, while on the IT side things are run much like a mom and pop shop at times - this allows a lot of freedom and leeway in how you accomplish goals and learn new things.  People are generally warm and open to answering questions and sharing their knowledge.","Sherwin-Williams is an old fashioned manufacturing company.  They are an enormous global enterprise.  With those things naturally comes baggage like bureaucracy and resistance to change - a lot of processes are in place to provide organization and control. Though these often help in providing a consistent environment across the enterprise, they also often hinder new exciting benefits and getting seemingly simple tasks pushed through the system. You won't find the flexibility or total freedom you find working for smaller employers.  In summary, they are somewhat monolithic in their standards and old-fashioned in their procedures - you will need to be able to work within these corporate traits in order to successfully move things forward and impact change in the enterprise in the future.","I would recommend they reduce middle-management - occasionally middle management is a barrier between upper management and workers which prevents ideas and improvements from bubbling to the top.  If done right, our corporate agility and flexibility could be improved.",0,5,css-1areqgb,css-1areqgb,5,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
