page,rating_overall,employment_status,review_title,review_link,review_date,employee_job,employee_loc,review_pros,review_cons,review_advice_mgmt,flag_incomplete,rating_components.Work/Life Balance,rating_components.Career Opportunities,rating_components.Compensation and Benefits,rating_components.Senior Management,summary_views.Recommend,summary_views.CEO Approval,summary_views.Business Outlook,supposed_n_reviews,Glassdoor Review Page,rating_components.Culture & Values
1,2.0,Current Employee,Deputy Store Manager in unhappy shocker,/Reviews/Employee-Review-Tesco-RVW5565.htm,"Jun 11, 2008",Deputy Store Manager,"London, England",There is a reasonable amount of staff/staff interaction and generally you never feel dreadful for having to go into work. Discounts and freebies are also enjoyed.,"Tesco has a model that works no lying in that, sadly the model requires store management to be mushrooms, aka they are kept in the dark and manure is dumped on them.",You'd be incredibly surprised how many smart people you have working in stores whose suggestions for store improvements are usually totally ignored.,0,4,css-z2gtf,css-11rm5hs,3,negative,positive,blank,19908,https://www.glassdoor.com/Reviews/Tesco-Reviews-E10250.htm,
1,3.0,Current Employee,"Solid business, but infrequent promotion",/Reviews/Employee-Review-Tesco-RVW13920.htm,"Jun 12, 2008",IT Architect,"London, England","Wide range of jobs available.  
High degree of job stability & security.
Well entrenched concept of Tesco values (to promote fair treatment of staff)
Good pension plan, and share bonus scheme","Career obstacle course rather than career path. 
Short term cost focussed, does not always correctly evaluate total cost of ownership.
Compensentation comes up short compared to other businesses nearby in London
Admin tasks (travel, expenses etc) are over-bureaucratic
Sometimes lip service payed to Tesco values
Lack of basic resources (meeting rooms, projectors etc) makes work more difficult than it should be
Difficult to find the right person to take responsability for issues","Make efforts to equalise the skills and compentency of the more senior job grades (WL3+) across the business.
Try to get teams to work in the same location
Publish complete org chart for head office and RACI",0,4,css-z2gtf,css-11rm5hs,css-z2gtf,blank,positive,blank,19908,https://www.glassdoor.com/Reviews/Tesco-Reviews-E10250.htm,
1,1.0,Former Employee,"Tesco, huge profits but",/Reviews/Employee-Review-Tesco-RVW18445.htm,"Jun 13, 2008",GA!,"London, England",thinking....still thinking...it's convenient and easy if you're desperate for a job. Also generally speaking the staff are great despite the poor pay and poor working conditions.,"Poorly paid, poorly rewarded for hard work and poorly rewarded when the company performs well due to the hard work of it's lowly employees! From my experience within other industries and businesses if a company performs extremely well due to the great efforts of it's staff then those same staff can often look forward to a bonus of some sort. At Tesco there is no reward for great results. Unless you are a senior executive that is. Of course those billion dollar profits are all due to that merry bunch of executives at head office. 
It also has a very poor culture towards the health and safety of it's staff. In the warehouse fire doors can often be found blocked, Roll cages stacked with heavy stock will arrive for delivery with only 3 wheels where 4 should be and chiller floors covered with water making for highly dangerous working areas. I could go on. I think this is in danger of turning into a rant and so here I will stop","Recognise that in order to attract exceptional staff at ALL levels of the business the level of remuneration has to be good, the work to life balance has to be considered and the rewards for great company performance through high standards of work by it's employees should be shared by ALL of tesco employees from trolley guy to CEO.  Not just handed out between share holders and senior executives in their value tesco suits. 
Also understand that staff have opinions they would love to express in order to improve the business and highlight shortcomings. This cannot be achieved simply through a standardised multiple choice questionare every year.",0,css-z2gtf,2,2,1,negative,neutral,blank,19908,https://www.glassdoor.com/Reviews/Tesco-Reviews-E10250.htm,
1,2.0,Current Employee,Join it if you don't have better options,/Reviews/Employee-Review-Tesco-RVW36020.htm,"Jun 29, 2008",,"London, England","Training courses, work and life balance. A good place to work for people with families and children.
Tesco is a great place to work - whether you're planning the layouts of our aisles, sourcing products in Thailand or improving our supply chain in Turkey.

We have become a market leader by doing the little things that really matter for our customers and staff.

We believe in treating each other with respect, giving everyone an equal opportunity to get on.",It takes forever to get promoted.,No feedback.,0,css-11rm5hs,2,css-z2gtf,css-qt3l8j,negative,neutral,blank,19908,https://www.glassdoor.com/Reviews/Tesco-Reviews-E10250.htm,
1,4.0,Current Employee,OK company,/Reviews/Employee-Review-Tesco-RVW41961.htm,"Jul 11, 2008",Store Assistant,"London, England","My department is Grocery, which is essentially the biggest department in the store - all food and drink that isn't fresh.

On Fridays and Saturdays there is an extra delivery which has to be worked (put on shelves) during the day, it is quite a hefty amount of stock to do when the store is so busy, around 25-35 roll cages full. Along with doing this which keeps you busy, you have plenty of customer queries to deal with and depending on whether you are multi-skilled or not you sometimes have to answer 'first class service' calls (much to your department managers annoyance) which means lending a hand on the checkouts during busy times. Getting 'multi-skilled' on the checkouts when you don't work on the checkout department is usually something you have to orchestrate yourself, I did it because there tends to be plenty of overtime opportunities on the checkouts as opposed to anywhere else, especially around Xmas. You do sometimes get till trained when you first start, it depends whether you work during busy times or not.","Any new vacancies in store are always advertised internally before employing new starters, and they have an internal course called 'Options' which trains you for a managers role, all the managers and team leaders at Tesco tend to have worked their way up, so if you are interested in a job at Tesco you are unlikely to be able to get straight into a managers role. This is good because it keeps current staff motivated to work hard, and to be honest if you want to work at Tesco and plan on settling there for a substantial period of time you need to be aiming for promotions. Kissing ass really helps your cause.","Start treating people at the bottom with some dignity, its them who do the backbreaking work that is making you the money.",0,css-11rm5hs,3,css-11rm5hs,3,blank,positive,blank,19908,https://www.glassdoor.com/Reviews/Tesco-Reviews-E10250.htm,
1,4.0,Former Employee,Flexible!,/Reviews/Employee-Review-Tesco-RVW63610.htm,"Aug 22, 2008",Customer Services Assistant,"Brighton, England","Local, flexible and generally an okay employer. Gave me the start I needed. The hours were good and there was always the possiblility to work overtime when needed. The location was very good for me, meaning I could walk to the store. Staff benefits were good, but only if you stayed long enough to be entitled to them. Overall it was a good job, and the employer was efficient and well organised.","It's a big company and you can feel you are just one of the many and the uniform is not the most fashionable, but it saves your own clothes.","Difficult to say given level of position, but generally ""don't forget the little guy!'; We are your interface the the customer once they are through the door.",0,3,3,css-11rm5hs,css-11rm5hs,blank,positive,blank,19908,https://www.glassdoor.com/Reviews/Tesco-Reviews-E10250.htm,
1,4.0,Former Employee,A good place to work,/Reviews/Employee-Review-Tesco-RVW85891.htm,"Sep 23, 2008",Human Resources Assistant,"London, England",A dynamic forward thinking business with good opportunities for advancement.  Reasonable renumeration in terms of the sector.  Lots of varied and interesting roles in terms of employment. Employee morale tends to be good.  Certainly better than I have known in other companies.  It offers flexible hours so is really good if you are bringing up a family or just want a better work/life balance.  There are also good benefits and perks available.,"The work culture is not for everyone.  Although you can progress quite quickly, there tends to be quite a high turnover of staff especially at thelower end of the scale",Listen to the staff on the shop floor,0,4,3,4,4,positive,positive,blank,19908,https://www.glassdoor.com/Reviews/Tesco-Reviews-E10250.htm,
1,2.0,Former Employee,Poor store level management,/Reviews/Employee-Review-Tesco-RVW110801.htm,"Nov 2, 2008",Sales Assistant,"Birmingham, England",Decent pay compared with other companies in the sector. Good bonus and share scheme.,"Store managers seem to care little about their employees, especially when it comes to outside commitments. The company is clearly well run and successful on a national level, but this does not seem to be shown on a more regional level.",Closer monitoring of store level activities.,0,1,css-11rm5hs,4,3,negative,positive,blank,19908,https://www.glassdoor.com/Reviews/Tesco-Reviews-E10250.htm,
1,4.0,Current Employee,"Nice people, good opportunities, rough offices",/Reviews/Employee-Review-Tesco-RVW237331.htm,"Jun 9, 2009",Business Systems Analyst,"Welwyn Garden City, England","Friendly and open culture, opportunities to progress especially on joing IT graduate scheme","Aging population and often technologies.  Fairly slow and beurocratic occasionally, could be more innovative.  Pretty crappy physical working environment in most offices.",Invest a little more in people's surroundings and facilities - I appreciate (and enjoy) the down to earth values but this must be balanced with not driving specialists into the arms of shiney gleaming London firms with wallpaper and other such luxuries.,0,css-1areqgb,4,css-1areqgb,4,positive,positive,blank,19908,https://www.glassdoor.com/Reviews/Tesco-Reviews-E10250.htm,
1,2.0,Former Employee,Us and them.....,/Reviews/Employee-Review-Tesco-RVW239697.htm,"Jun 13, 2009",Contractor,"Welwyn Garden City, England","Interesting work, pretty good pay, high energy workplace, decent caff","1. Tesco's expand and contract policy of hiring staff ensures that people live in fear of being dumped at the slightest drop in market share. 
2. Are you a contractor? Don't expect to get taken seriously. You know nothing.
3. It's a bit competitive so you can expect to be gossiped about.","Before you go employing heads of department from swish companies in London, do try to think how they'll fit into the culture at Tesco. They might upset the staff to the point where at least half of them leave.",0,4,css-qt3l8j,2,3,blank,positive,blank,19908,https://www.glassdoor.com/Reviews/Tesco-Reviews-E10250.htm,
