Glassdoor Review Page,supposed_n_reviews,supposed_n_pages,% pages,Running Sum
https://www.glassdoor.com/Reviews/Tesco-Reviews-E10250.htm,19527,1953,0.010741156,0.010741156
https://www.glassdoor.com/Reviews/Kroger-Reviews-E386.htm,17846,1785,0.009817186,0.020558342
https://www.glassdoor.com/Reviews/JPMorgan-Chase-and-Co-Reviews-E5224839.htm,16822,1683,0.009256204,0.029814546
https://www.glassdoor.com/Reviews/Kohl-s-Reviews-E592.htm,15946,1595,0.008772219,0.038586765
https://www.glassdoor.com/Reviews/Whole-Foods-Market-Reviews-E422.htm,15717,1572,0.008645723,0.047232489
https://www.glassdoor.com/Reviews/Honeywell-Reviews-E28.htm,15533,1554,0.008546727,0.055779215
https://www.glassdoor.com/Reviews/ADP-Reviews-E64.htm,15438,1544,0.008491728,0.064270943
https://www.glassdoor.com/Reviews/Chipotle-Reviews-E15228.htm,14111,1412,0.007765751,0.072036695
https://www.glassdoor.com/Reviews/Panera-Bread-Reviews-E1493.htm,13715,1372,0.007545759,0.079582453
https://www.glassdoor.com/Reviews/Marriott-International-Reviews-E7790.htm,13654,1366,0.00751276,0.087095213
https://www.glassdoor.com/Reviews/Comcast-Reviews-E1280.htm,13477,1348,0.007413763,0.094508976
https://www.glassdoor.com/Reviews/Hewlett-Packard-Enterprise-HPE-Reviews-E1093046.htm,13189,1319,0.007254268,0.101763244
https://www.glassdoor.com/Reviews/UnitedHealth-Group-Reviews-E1991.htm,12867,1287,0.007078273,0.108841517
https://www.glassdoor.com/Reviews/GE-Reviews-E277.htm,12740,1274,0.007006776,0.115848293
https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,12660,1266,0.006962777,0.12281107
https://www.glassdoor.com/Reviews/Costco-Wholesale-Reviews-E2590.htm,12533,1254,0.006896779,0.129707849
https://www.glassdoor.com/Reviews/Domino-s-Reviews-E2770.htm,12517,1252,0.00688578,0.136593629
https://www.glassdoor.com/Reviews/Boeing-Reviews-E102.htm,12427,1243,0.006836281,0.14342991
https://www.glassdoor.com/Reviews/American-Express-Reviews-E35.htm,12319,1232,0.006775783,0.150205693
https://www.glassdoor.com/Reviews/Capital-One-Reviews-E3736.htm,12314,1232,0.006775783,0.156981477
https://www.glassdoor.com/Reviews/Salesforce-Reviews-E11159.htm,12253,1226,0.006742784,0.163724261
https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,11975,1198,0.006588789,0.17031305
https://www.glassdoor.com/Reviews/PepsiCo-Reviews-E522.htm,11972,1198,0.006588789,0.176901839
https://www.glassdoor.com/Reviews/Staples-Reviews-E1909.htm,11885,1189,0.006539291,0.18344113
https://www.glassdoor.com/Reviews/Spectrum-Reviews-E1500006.htm,11796,1180,0.006489792,0.189930922
https://www.glassdoor.com/Reviews/Dollar-General-Reviews-E1342.htm,11306,1131,0.006220301,0.196151223
https://www.glassdoor.com/Reviews/J-C-Penney-Reviews-E361.htm,11299,1130,0.006214801,0.202366024
https://www.glassdoor.com/Reviews/Lockheed-Martin-Reviews-E404.htm,10077,1008,0.005543823,0.207909847
https://www.glassdoor.com/Reviews/Procter-and-Gamble-Reviews-E544.htm,9847,985,0.005417327,0.213327174
https://www.glassdoor.com/Reviews/NIKE-Reviews-E1699.htm,9564,957,0.005263332,0.218590505
https://www.glassdoor.com/Reviews/Ulta-Beauty-Reviews-E9466.htm,9430,943,0.005186334,0.223776839
https://www.glassdoor.com/Reviews/Wendy-s-Reviews-E728.htm,9232,924,0.005081837,0.228858677
https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm,8899,890,0.004894843,0.23375352
https://www.glassdoor.com/Reviews/Walt-Disney-Company-Reviews-E717.htm,8865,887,0.004878344,0.238631864
https://www.glassdoor.com/Reviews/Johnson-and-Johnson-Reviews-E364.htm,8847,885,0.004867344,0.243499208
https://www.glassdoor.com/Reviews/Allstate-Reviews-E2341.htm,8709,871,0.004790347,0.248289555
https://www.glassdoor.com/Reviews/Cerner-Reviews-E1242.htm,8663,867,0.004768347,0.253057902
https://www.glassdoor.com/Reviews/DICK-S-Sporting-Goods-Reviews-E8666.htm,8504,851,0.00468035,0.257738252
https://www.glassdoor.com/Reviews/U-S-Bank-Reviews-E8937.htm,8471,848,0.004663851,0.262402103
https://www.glassdoor.com/Reviews/Schlumberger-Reviews-E588.htm,8469,847,0.004658351,0.267060454
https://www.glassdoor.com/Reviews/Northrop-Grumman-Reviews-E488.htm,8448,845,0.004647351,0.271707805
https://www.glassdoor.com/Reviews/Ross-Stores-Reviews-E1843.htm,8295,830,0.004564854,0.276272659
https://www.glassdoor.com/Reviews/FIS-Reviews-E313114.htm,8296,830,0.004564854,0.280837513
https://www.glassdoor.com/Reviews/FedEx-Reviews-E246.htm,8249,825,0.004537355,0.285374868
https://www.glassdoor.com/Reviews/PNC-Financial-Services-Group-Reviews-E507.htm,8206,821,0.004515356,0.289890224
https://www.glassdoor.com/Reviews/Qualcomm-Reviews-E640.htm,7844,785,0.004317362,0.294207585
https://www.glassdoor.com/Reviews/CBRE-Reviews-E465818.htm,7811,782,0.004300862,0.298508448
https://www.glassdoor.com/Reviews/AECOM-Reviews-E5632.htm,7775,778,0.004278863,0.302787311
https://www.glassdoor.com/Reviews/American-Eagle-Outfitters-Reviews-E2642.htm,7644,765,0.004207365,0.306994676
https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,7517,752,0.004135868,0.311130544
https://www.glassdoor.com/Reviews/General-Motors-GM-Reviews-E279.htm,7505,751,0.004130368,0.315260912
https://www.glassdoor.com/Reviews/Labcorp-Reviews-E1679.htm,7510,751,0.004130368,0.319391279
https://www.glassdoor.com/Reviews/Ford-Motor-Company-Reviews-E263.htm,7400,740,0.00406987,0.323461149
https://www.glassdoor.com/Reviews/State-Street-Reviews-E1911.htm,7305,731,0.004020371,0.327481521
https://www.glassdoor.com/Reviews/Intuit-Reviews-E2293.htm,7285,729,0.004009372,0.331490892
https://www.glassdoor.com/Reviews/Fiserv-Reviews-E1384.htm,7008,701,0.003855377,0.335346269
https://www.glassdoor.com/Reviews/Dollar-Tree-Reviews-E4033.htm,6955,696,0.003827878,0.339174146
https://www.glassdoor.com/Reviews/JLL-Reviews-E5779.htm,6698,670,0.003684882,0.342859029
https://www.glassdoor.com/Reviews/Virtusa-Reviews-E29396.htm,6667,667,0.003668383,0.346527411
https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm,6645,665,0.003657383,0.350184794
https://www.glassdoor.com/Reviews/GameStop-Reviews-E1162.htm,6645,665,0.003657383,0.353842177
https://www.glassdoor.com/Reviews/Office-Depot-Reviews-E1723.htm,6568,657,0.003613384,0.357455561
https://www.glassdoor.com/Reviews/Nielsen-Reviews-E3776.htm,6536,654,0.003596885,0.361052446
https://www.glassdoor.com/Reviews/Raytheon-Technologies-Reviews-E561.htm,6431,644,0.003541887,0.364594333
https://www.glassdoor.com/Reviews/Thermo-Fisher-Scientific-Reviews-E658.htm,6425,643,0.003536387,0.36813072
https://www.glassdoor.com/Reviews/Buffalo-Wild-Wings-Reviews-E8370.htm,6402,641,0.003525387,0.371656107
https://www.glassdoor.com/Reviews/CSC-Reviews-E169.htm,6365,637,0.003503388,0.375159495
https://www.glassdoor.com/Reviews/Medtronic-Reviews-E436.htm,6344,635,0.003492388,0.378651883
https://www.glassdoor.com/Reviews/Barnes-and-Noble-Reviews-E2439.htm,6297,630,0.003464889,0.382116772
https://www.glassdoor.com/Reviews/AIG-Reviews-E40.htm,6256,626,0.00344289,0.385559662
https://www.glassdoor.com/Reviews/Cracker-Barrel-Reviews-E1308.htm,6195,620,0.003409891,0.388969553
https://www.glassdoor.com/Reviews/SYKES-Reviews-E5972.htm,6044,605,0.003327394,0.392296946
https://www.glassdoor.com/Reviews/Abbott-Reviews-E12.htm,6021,603,0.003316394,0.39561334
https://www.glassdoor.com/Reviews/PayPal-Reviews-E9848.htm,5994,600,0.003299894,0.398913235
https://www.glassdoor.com/Reviews/Johnson-Controls-Reviews-E365.htm,5988,599,0.003294395,0.402207629
https://www.glassdoor.com/Reviews/HP-Inc-Reviews-E1093161.htm,5853,586,0.003222897,0.405430526
https://www.glassdoor.com/Reviews/Gartner-Reviews-E2465.htm,5803,581,0.003195398,0.408625924
https://www.glassdoor.com/Reviews/Robert-Half-Reviews-E1838.htm,5748,575,0.003162399,0.411788323
https://www.glassdoor.com/Reviews/CarMax-Reviews-E6561.htm,5683,569,0.0031294,0.414917723
https://www.glassdoor.com/Reviews/Bed-Bath-and-Beyond-Reviews-E1961.htm,5690,569,0.0031294,0.418047122
https://www.glassdoor.com/Reviews/Pfizer-Reviews-E525.htm,5601,561,0.003085401,0.421132524
https://www.glassdoor.com/Reviews/NCR-Reviews-E4212.htm,5607,561,0.003085401,0.424217925
https://www.glassdoor.com/Reviews/Meta-Reviews-E40772.htm,5549,555,0.003052402,0.427270327
