Glassdoor Review Page,supposed_n_reviews,supposed_n_pages
https://www.glassdoor.com/Reviews/Tesco-Reviews-E10250.htm,19527,1953
https://www.glassdoor.com/Reviews/Kroger-Reviews-E386.htm,17846,1785
https://www.glassdoor.com/Reviews/JPMorgan-Chase-and-Co-Reviews-E5224839.htm,16822,1683
https://www.glassdoor.com/Reviews/Kohl-s-Reviews-E592.htm,15946,1595
https://www.glassdoor.com/Reviews/Whole-Foods-Market-Reviews-E422.htm,15717,1572
https://www.glassdoor.com/Reviews/Honeywell-Reviews-E28.htm,15533,1554
https://www.glassdoor.com/Reviews/ADP-Reviews-E64.htm,15438,1544
https://www.glassdoor.com/Reviews/Chipotle-Reviews-E15228.htm,14111,1412
https://www.glassdoor.com/Reviews/Panera-Bread-Reviews-E1493.htm,13715,1372
https://www.glassdoor.com/Reviews/Marriott-International-Reviews-E7790.htm,13654,1366
https://www.glassdoor.com/Reviews/Comcast-Reviews-E1280.htm,13477,1348
https://www.glassdoor.com/Reviews/Hewlett-Packard-Enterprise-HPE-Reviews-E1093046.htm,13189,1319
https://www.glassdoor.com/Reviews/UnitedHealth-Group-Reviews-E1991.htm,12867,1287
https://www.glassdoor.com/Reviews/GE-Reviews-E277.htm,12740,1274
https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,12660,1266
https://www.glassdoor.com/Reviews/Costco-Wholesale-Reviews-E2590.htm,12533,1254
https://www.glassdoor.com/Reviews/Domino-s-Reviews-E2770.htm,12517,1252
https://www.glassdoor.com/Reviews/Boeing-Reviews-E102.htm,12427,1243
https://www.glassdoor.com/Reviews/American-Express-Reviews-E35.htm,12319,1232
https://www.glassdoor.com/Reviews/Capital-One-Reviews-E3736.htm,12314,1232
https://www.glassdoor.com/Reviews/Salesforce-Reviews-E11159.htm,12253,1226
https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,11975,1198
https://www.glassdoor.com/Reviews/PepsiCo-Reviews-E522.htm,11972,1198
https://www.glassdoor.com/Reviews/Staples-Reviews-E1909.htm,11885,1189
https://www.glassdoor.com/Reviews/Spectrum-Reviews-E1500006.htm,11796,1180
https://www.glassdoor.com/Reviews/Dollar-General-Reviews-E1342.htm,11306,1131
https://www.glassdoor.com/Reviews/J-C-Penney-Reviews-E361.htm,11299,1130
https://www.glassdoor.com/Reviews/Lockheed-Martin-Reviews-E404.htm,10077,1008
https://www.glassdoor.com/Reviews/Procter-and-Gamble-Reviews-E544.htm,9847,985
https://www.glassdoor.com/Reviews/NIKE-Reviews-E1699.htm,9564,957
https://www.glassdoor.com/Reviews/Ulta-Beauty-Reviews-E9466.htm,9430,943
https://www.glassdoor.com/Reviews/Wendy-s-Reviews-E728.htm,9232,924
https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm,8899,890
https://www.glassdoor.com/Reviews/Walt-Disney-Company-Reviews-E717.htm,8865,887
https://www.glassdoor.com/Reviews/Johnson-and-Johnson-Reviews-E364.htm,8847,885
https://www.glassdoor.com/Reviews/Allstate-Reviews-E2341.htm,8709,871
https://www.glassdoor.com/Reviews/Cerner-Reviews-E1242.htm,8663,867
https://www.glassdoor.com/Reviews/DICK-S-Sporting-Goods-Reviews-E8666.htm,8504,851
https://www.glassdoor.com/Reviews/U-S-Bank-Reviews-E8937.htm,8471,848
https://www.glassdoor.com/Reviews/Schlumberger-Reviews-E588.htm,8469,847
https://www.glassdoor.com/Reviews/Northrop-Grumman-Reviews-E488.htm,8448,845
https://www.glassdoor.com/Reviews/Ross-Stores-Reviews-E1843.htm,8295,830
https://www.glassdoor.com/Reviews/FIS-Reviews-E313114.htm,8296,830
https://www.glassdoor.com/Reviews/FedEx-Reviews-E246.htm,8249,825
https://www.glassdoor.com/Reviews/PNC-Financial-Services-Group-Reviews-E507.htm,8206,821
https://www.glassdoor.com/Reviews/Qualcomm-Reviews-E640.htm,7844,785
https://www.glassdoor.com/Reviews/CBRE-Reviews-E465818.htm,7811,782
https://www.glassdoor.com/Reviews/AECOM-Reviews-E5632.htm,7775,778
https://www.glassdoor.com/Reviews/American-Eagle-Outfitters-Reviews-E2642.htm,7644,765
https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,7517,752
https://www.glassdoor.com/Reviews/General-Motors-GM-Reviews-E279.htm,7505,751
https://www.glassdoor.com/Reviews/Labcorp-Reviews-E1679.htm,7510,751
https://www.glassdoor.com/Reviews/Ford-Motor-Company-Reviews-E263.htm,7400,740
https://www.glassdoor.com/Reviews/State-Street-Reviews-E1911.htm,7305,731
https://www.glassdoor.com/Reviews/Intuit-Reviews-E2293.htm,7285,729
https://www.glassdoor.com/Reviews/Fiserv-Reviews-E1384.htm,7008,701
https://www.glassdoor.com/Reviews/Dollar-Tree-Reviews-E4033.htm,6955,696
https://www.glassdoor.com/Reviews/JLL-Reviews-E5779.htm,6698,670
https://www.glassdoor.com/Reviews/Virtusa-Reviews-E29396.htm,6667,667
https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm,6645,665
