Glassdoor Review Page,supposed_n_reviews,supposed_n_pages
https://www.glassdoor.com/Reviews/GameStop-Reviews-E1162.htm,6645,665
https://www.glassdoor.com/Reviews/Office-Depot-Reviews-E1723.htm,6568,657
https://www.glassdoor.com/Reviews/Nielsen-Reviews-E3776.htm,6536,654
https://www.glassdoor.com/Reviews/Raytheon-Technologies-Reviews-E561.htm,6431,644
https://www.glassdoor.com/Reviews/Thermo-Fisher-Scientific-Reviews-E658.htm,6425,643
https://www.glassdoor.com/Reviews/Buffalo-Wild-Wings-Reviews-E8370.htm,6402,641
https://www.glassdoor.com/Reviews/CSC-Reviews-E169.htm,6365,637
https://www.glassdoor.com/Reviews/Medtronic-Reviews-E436.htm,6344,635
https://www.glassdoor.com/Reviews/Barnes-and-Noble-Reviews-E2439.htm,6297,630
https://www.glassdoor.com/Reviews/AIG-Reviews-E40.htm,6256,626
https://www.glassdoor.com/Reviews/Cracker-Barrel-Reviews-E1308.htm,6195,620
https://www.glassdoor.com/Reviews/SYKES-Reviews-E5972.htm,6044,605
https://www.glassdoor.com/Reviews/Abbott-Reviews-E12.htm,6021,603
https://www.glassdoor.com/Reviews/PayPal-Reviews-E9848.htm,5994,600
https://www.glassdoor.com/Reviews/Johnson-Controls-Reviews-E365.htm,5988,599
https://www.glassdoor.com/Reviews/HP-Inc-Reviews-E1093161.htm,5853,586
https://www.glassdoor.com/Reviews/Gartner-Reviews-E2465.htm,5803,581
https://www.glassdoor.com/Reviews/Robert-Half-Reviews-E1838.htm,5748,575
https://www.glassdoor.com/Reviews/CarMax-Reviews-E6561.htm,5683,569
https://www.glassdoor.com/Reviews/Bed-Bath-and-Beyond-Reviews-E1961.htm,5690,569
https://www.glassdoor.com/Reviews/Pfizer-Reviews-E525.htm,5601,561
https://www.glassdoor.com/Reviews/NCR-Reviews-E4212.htm,5607,561
https://www.glassdoor.com/Reviews/Meta-Reviews-E40772.htm,5549,555
https://www.glassdoor.com/Reviews/Delta-Air-Lines-Reviews-E197.htm,5483,549
https://www.glassdoor.com/Reviews/Convergys-Reviews-E8348.htm,5479,548
https://www.glassdoor.com/Reviews/Humana-Reviews-E340.htm,5454,546
https://www.glassdoor.com/Reviews/Progressive-Insurance-Reviews-E546.htm,5390,539
https://www.glassdoor.com/Reviews/WTW-Reviews-E1122768.htm,5284,529
https://www.glassdoor.com/Reviews/Caterpillar-Reviews-E137.htm,5277,528
https://www.glassdoor.com/Reviews/HCA-Healthcare-Reviews-E2062.htm,5266,527
https://www.glassdoor.com/Reviews/DaVita-Reviews-E5367.htm,5261,527
https://www.glassdoor.com/Reviews/Papa-John-s-Reviews-E2363.htm,5215,522
https://www.glassdoor.com/Reviews/Texas-Roadhouse-Reviews-E18664.htm,5209,521
https://www.glassdoor.com/Reviews/Aon-Reviews-E53.htm,5199,520
https://www.glassdoor.com/Reviews/Jacobs-Reviews-E913.htm,5149,515
https://www.glassdoor.com/Reviews/Sonic-Reviews-E1303.htm,5143,515
https://www.glassdoor.com/Reviews/S-and-P-Global-Reviews-E1259396.htm,5121,513
https://www.glassdoor.com/Reviews/AutoZone-Reviews-E610.htm,5119,512
https://www.glassdoor.com/Reviews/H-and-R-Block-Reviews-E303.htm,5118,512
https://www.glassdoor.com/Reviews/Emerson-Reviews-E225.htm,5059,506
https://www.glassdoor.com/Reviews/Cummins-Reviews-E187.htm,5043,505
https://www.glassdoor.com/Reviews/MetLife-Reviews-E2899.htm,5026,503
https://www.glassdoor.com/Reviews/Yahoo-Reviews-E5807.htm,4880,488
https://www.glassdoor.com/Reviews/Cintas-Reviews-E1256.htm,4860,486
https://www.glassdoor.com/Reviews/Halliburton-Reviews-E307.htm,4830,483
https://www.glassdoor.com/Reviews/McKesson-Reviews-E434.htm,4733,474
https://www.glassdoor.com/Reviews/EXL-Service-Reviews-E37901.htm,4648,465
https://www.glassdoor.com/Reviews/Urban-Outfitters-Reviews-E2372.htm,4637,464
https://www.glassdoor.com/Reviews/Kraft-Heinz-Company-Reviews-E1026712.htm,4619,462
https://www.glassdoor.com/Reviews/Micron-Technology-Reviews-E1648.htm,4548,455
https://www.glassdoor.com/Reviews/Visa-Inc-Reviews-E3035.htm,4533,454
https://www.glassdoor.com/Reviews/Stryker-Reviews-E1918.htm,4523,453
https://www.glassdoor.com/Reviews/Merck-Reviews-E438.htm,4520,452
https://www.glassdoor.com/Reviews/Cigna-Reviews-E119.htm,4498,450
https://www.glassdoor.com/Reviews/Eaton-Reviews-E221.htm,4459,446
https://www.glassdoor.com/Reviews/The-Cheesecake-Factory-Reviews-E2229.htm,4435,444
https://www.glassdoor.com/Reviews/Adobe-Reviews-E1090.htm,4371,438
https://www.glassdoor.com/Reviews/Charles-Schwab-Reviews-E144.htm,4278,428
https://www.glassdoor.com/Reviews/Sprouts-Farmers-Market-Reviews-E134467.htm,4226,423
https://www.glassdoor.com/Reviews/3M-Reviews-E446.htm,4163,417
https://www.glassdoor.com/Reviews/eBay-Reviews-E7853.htm,4143,415
https://www.glassdoor.com/Reviews/Chevron-Reviews-E13524.htm,4135,414
https://www.glassdoor.com/Reviews/BlackRock-Reviews-E9331.htm,4062,407
https://www.glassdoor.com/Reviews/Aetna-Reviews-E16.htm,4060,406
https://www.glassdoor.com/Reviews/Quest-Diagnostics-Reviews-E6655.htm,4041,405
https://www.glassdoor.com/Reviews/Advance-Auto-Parts-Reviews-E8708.htm,4043,405
https://www.glassdoor.com/Reviews/Mastercard-Reviews-E3677.htm,4033,404
https://www.glassdoor.com/Reviews/Fastenal-Reviews-E1391.htm,4030,403
https://www.glassdoor.com/Reviews/Northern-Trust-Reviews-E1710.htm,4022,403
https://www.glassdoor.com/Reviews/Elevance-Health-Reviews-E925157.htm,3960,396
https://www.glassdoor.com/Reviews/ExxonMobil-Reviews-E237.htm,3946,395
https://www.glassdoor.com/Reviews/HARMAN-Reviews-E315.htm,3866,387
https://www.glassdoor.com/Reviews/Citrix-Reviews-E5432.htm,3859,386
https://www.glassdoor.com/Reviews/Texas-Instruments-Reviews-E651.htm,3760,376
https://www.glassdoor.com/Reviews/Centene-Reviews-E13542.htm,3624,363
https://www.glassdoor.com/Reviews/John-Deere-Reviews-E195.htm,3599,360
https://www.glassdoor.com/Reviews/Express-Reviews-E14597.htm,3593,360
https://www.glassdoor.com/Reviews/Prudential-Reviews-E2944.htm,3577,358
https://www.glassdoor.com/Reviews/Foot-Locker-Reviews-E238.htm,3553,356
https://www.glassdoor.com/Reviews/Citizens-Reviews-E13640.htm,3478,348
https://www.glassdoor.com/Reviews/Ecolab-Reviews-E222.htm,3450,345
https://www.glassdoor.com/Reviews/Southwest-Airlines-Reviews-E611.htm,3442,345
https://www.glassdoor.com/Reviews/Juniper-Networks-Reviews-E7224.htm,3443,345
https://www.glassdoor.com/Reviews/SAIC-Reviews-E41130.htm,3450,345
https://www.glassdoor.com/Reviews/Red-Robin-Reviews-E14609.htm,3432,344
https://www.glassdoor.com/Reviews/Cardinal-Health-Reviews-E1227.htm,3430,343
https://www.glassdoor.com/Reviews/Discover-Reviews-E13990.htm,3380,338
https://www.glassdoor.com/Reviews/O-Reilly-Auto-Parts-Reviews-E2328.htm,3354,336
https://www.glassdoor.com/Reviews/Mondel%C4%93z-International-Reviews-E628257.htm,3342,335
https://www.glassdoor.com/Reviews/Broadcom-Reviews-E6926.htm,3317,332
https://www.glassdoor.com/Reviews/FactSet-Reviews-E6066.htm,3313,332
https://www.glassdoor.com/Reviews/Maximus-Reviews-E6725.htm,3310,331
https://www.glassdoor.com/Reviews/Sysco-Reviews-E634.htm,3261,327
https://www.glassdoor.com/Reviews/Becton-Dickinson-and-Company-Reviews-E88.htm,3233,324
https://www.glassdoor.com/Reviews/Grainger-Reviews-E711.htm,3202,321
https://www.glassdoor.com/Reviews/The-Hartford-Reviews-E4314.htm,3132,314
https://www.glassdoor.com/Reviews/SunTrust-Reviews-E631.htm,3127,313
https://www.glassdoor.com/Reviews/Whirlpool-Corporation-Reviews-E732.htm,3111,312
https://www.glassdoor.com/Reviews/Williams-Sonoma-Inc-Reviews-E2043.htm,3105,311
https://www.glassdoor.com/Reviews/Leidos-Reviews-E730545.htm,3105,311
https://www.glassdoor.com/Reviews/Boston-Scientific-Reviews-E2187.htm,3091,310
https://www.glassdoor.com/Reviews/Autodesk-Reviews-E1155.htm,3058,306
https://www.glassdoor.com/Reviews/R-R-Donnelley-Reviews-E554.htm,3018,302
https://www.glassdoor.com/Reviews/Western-Digital-Reviews-E1067.htm,3005,301
https://www.glassdoor.com/Reviews/AMD-Reviews-E15.htm,3005,301
https://www.glassdoor.com/Reviews/Fifth-Third-Reviews-E1395.htm,2999,300
https://www.glassdoor.com/Reviews/Amgen-Reviews-E1130.htm,2981,299
https://www.glassdoor.com/Reviews/Eli-Lilly-and-Company-Reviews-E223.htm,2983,299
https://www.glassdoor.com/Reviews/Red-Hat-Reviews-E8868.htm,2957,296
https://www.glassdoor.com/Reviews/General-Mills-Reviews-E278.htm,2944,295
https://www.glassdoor.com/Reviews/WM-Reviews-E2094.htm,2950,295
https://www.glassdoor.com/Reviews/Baker-Hughes-Reviews-E1902699.htm,2932,294
https://www.glassdoor.com/Reviews/Rackspace-Technology-Reviews-E11783.htm,2935,294
https://www.glassdoor.com/Reviews/Big-Lots-Reviews-E177.htm,2922,293
https://www.glassdoor.com/Reviews/Bristol-Myers-Squibb-Reviews-E107.htm,2920,292
https://www.glassdoor.com/Reviews/Regions-Financial-Reviews-E1397.htm,2883,289
https://www.glassdoor.com/Reviews/Baxter-Reviews-E83.htm,2875,288
https://www.glassdoor.com/Reviews/Electronic-Arts-Reviews-E1628.htm,2822,283
https://www.glassdoor.com/Reviews/Est%C3%A9e-Lauder-Companies-Reviews-E2785.htm,2784,279
https://www.glassdoor.com/Reviews/Gallagher-Reviews-E57.htm,2771,278
https://www.glassdoor.com/Reviews/Synopsys-Reviews-E2143.htm,2727,273
https://www.glassdoor.com/Reviews/The-Children-s-Place-Reviews-E7028.htm,2719,272
https://www.glassdoor.com/Reviews/CDK-Global-Reviews-E870191.htm,2696,270
https://www.glassdoor.com/Reviews/AbbVie-Reviews-E649837.htm,2688,269
https://www.glassdoor.com/Reviews/Tractor-Supply-Reviews-E2602.htm,2680,268
https://www.glassdoor.com/Reviews/Teradata-Reviews-E14638.htm,2672,268
https://www.glassdoor.com/Reviews/NetApp-Reviews-E5406.htm,2641,265
https://www.glassdoor.com/Reviews/Coach-Reviews-E12070.htm,2630,263
https://www.glassdoor.com/Reviews/Travelers-Reviews-E1904.htm,2601,261
https://www.glassdoor.com/Reviews/Republic-Services-Reviews-E8328.htm,2593,260
https://www.glassdoor.com/Reviews/CACI-International-Reviews-E1201.htm,2591,260
https://www.glassdoor.com/Reviews/Ameriprise-Reviews-E15316.htm,2586,259
https://www.glassdoor.com/Reviews/Ingram-Micro-Reviews-E5794.htm,2587,259
