Glassdoor Review Page,supposed_n_reviews,supposed_n_pages
https://www.glassdoor.com/Reviews/Darden-Reviews-E4160.htm,2291,230
https://www.glassdoor.com/Reviews/ABM-Industries-Reviews-E32.htm,2299,230
https://www.glassdoor.com/Reviews/Assurant-Reviews-E13793.htm,2283,229
https://www.glassdoor.com/Reviews/Philip-Morris-International-Reviews-E7745.htm,2261,227
https://www.glassdoor.com/Reviews/Rockwell-Automation-Reviews-E567.htm,2258,226
https://www.glassdoor.com/Reviews/Cinemark-Reviews-E3612.htm,2241,225
https://www.glassdoor.com/Reviews/Popeyes-Reviews-E14706.htm,2243,225
https://www.glassdoor.com/Reviews/francesca-s-Reviews-E233550.htm,2242,225
https://www.glassdoor.com/Reviews/Jack-in-the-Box-Reviews-E1373.htm,2233,224
https://www.glassdoor.com/Reviews/Under-Armour-Reviews-E15422.htm,2227,223
https://www.glassdoor.com/Reviews/Seagate-Technology-Reviews-E1864.htm,2198,220
https://www.glassdoor.com/Reviews/Pitney-Bowes-Reviews-E535.htm,2172,218
https://www.glassdoor.com/Reviews/JetBlue-Reviews-E11385.htm,2164,217
https://www.glassdoor.com/Reviews/Kimberly-Clark-Reviews-E383.htm,2141,215
https://www.glassdoor.com/Reviews/Ruby-Tuesday-Reviews-E1670.htm,2145,215
https://www.glassdoor.com/Reviews/Gannett-Reviews-E272.htm,2138,214
https://www.glassdoor.com/Reviews/Rent-A-Center-Reviews-E3914.htm,2139,214
https://www.glassdoor.com/Reviews/Tyson-Foods-Reviews-E1975.htm,2126,213
https://www.glassdoor.com/Reviews/KBR-Reviews-E18604.htm,2122,213
https://www.glassdoor.com/Reviews/BJ-s-Restaurants-Reviews-E6490.htm,2113,212
https://www.glassdoor.com/Reviews/Ryder-System-Reviews-E575.htm,2106,211
https://www.glassdoor.com/Reviews/TE-Connectivity-Reviews-E18055.htm,2095,210
https://www.glassdoor.com/Reviews/Huntington-National-Bank-Reviews-E1496.htm,2093,210
https://www.glassdoor.com/Reviews/Frontier-Reviews-E131305.htm,2095,210
https://www.glassdoor.com/Reviews/Broadridge-Reviews-E42559.htm,2075,208
https://www.glassdoor.com/Reviews/Equifax-Reviews-E232.htm,2011,202
https://www.glassdoor.com/Reviews/Parker-Hannifin-Reviews-E517.htm,2007,201
https://www.glassdoor.com/Reviews/Starwood-Hotels-and-Resorts-Reviews-E335.htm,2007,201
https://www.glassdoor.com/Reviews/Western-Union-Reviews-E14655.htm,1945,195
https://www.glassdoor.com/Reviews/Air-Canada-Reviews-E42672.htm,1939,194
https://www.glassdoor.com/Reviews/Gap-Inc-Reviews-E1070099.htm,1933,194
https://www.glassdoor.com/Reviews/Carter-s-Reviews-E6540.htm,1940,194
https://www.glassdoor.com/Reviews/Express-Scripts-Reviews-E2212.htm,1925,193
https://www.glassdoor.com/Reviews/Eastman-Reviews-E2452.htm,1918,192
https://www.glassdoor.com/Reviews/Ralph-Lauren-Reviews-E2937.htm,1914,192
