Index,Company,Account Type,Twitter Handle,Account Creation Date,Account Followers,Account Following,Account Likes,Account Public Lists,Original Tweets,Retweets,Reply Tweets,Quote Tweets,Original Tweet Retweets,Original Tweet Likes,Original Tweet Replies,Original Tweet Quotes
0,MICROSOFT CORP,Corporate,@Microsoft,2009-09-14 22:35:42+00:00,12147971,2476,13502,26653,37465,6781,11501,164,1022134,4447230,345161,120589
0,EXXON MOBIL CORP,Corporate,@exxonmobil,2009-04-30 13:49:24+00:00,336195,275,593,2713,8402,1103,929,52,160900,627636,78362,32508
0,JOHNSON & JOHNSON,Corporate,@JNJNews,2009-02-09 19:12:13+00:00,249602,2398,3322,2950,9220,2561,3018,183,103203,329128,44894,18529
0,GENERAL ELECTRIC,Corporate,@generalelectric,2011-03-16 21:58:59+00:00,443977,12618,2022,3314,9746,1921,72108,102,157970,233782,38114,6087
0,JPMORGAN CHASE & CO,Corporate,@jpmorgan,2013-02-07 00:35:00+00:00,701653,48,536,4297,13625,1416,561,65,80936,301742,24360,7866
0,PROCTER & GAMBLE,Corporate,@ProcterGamble,2009-03-27 15:23:40+00:00,221418,1248,15574,2241,6420,4192,5805,563,53448,153642,20662,8382
0,ALPHABET INC CLASS A,Corporate,@google,2009-02-10 19:14:39+00:00,27909565,295,3270,93363,25121,1966,143655,220,1835405,5142347,318000,174096
0,ALPHABET INC CLASS A,Corporate,@google,2009-02-10 19:14:39+00:00,27909565,295,3270,93363,25121,1966,143655,220,1835405,5142347,318000,174096
0,PFIZER INC,Corporate,@pfizer,2009-07-13 20:48:42+00:00,489595,2308,566,4313,10348,418,609,139,133256,415481,102579,68648
0,VERIZON COMMUNICATIONS INC,Corporate,@verizon,2009-07-24 21:13:55+00:00,1637799,117,25956,5580,379814,4065,28176,861,264233,858265,117861,33787
0,COCA-COLA,Corporate,@CocaColaCo,2009-03-09 19:07:21+00:00,1179346,26787,2937,2028,9662,873,11103,122,212541,664152,31869,12590
0, INC,Corporate,@HomeDepot,2008-05-15 23:17:44+00:00,441450,27788,3240,3977,75281,904,6606,20,144233,506736,61330,15521
0,MERCK & CO INC,Corporate,@Merck,2009-04-28 02:40:05+00:00,225332,1003,2206,2252,7303,1370,1461,116,85936,259567,19636,7837
0,PHILIP MORRIS INTERNATIONAL INC,Corporate,@InsidePMI,2012-10-30 10:14:32+00:00,30943,126,774,206,5058,305,3136,71,13028,44282,6056,1465
0,INTEL CORPORATION CORP,Corporate,@intel,2007-03-29 07:22:48+00:00,4975762,1403,12921,14470,47808,1505,7200,271,728213,1736495,105571,29225
0,PEPSICO INC,Corporate,@PepsiCo,2009-02-19 22:24:53+00:00,356576,12199,1940,2314,23798,986,19234,62,66495,310029,24617,5844
0,WALT DISNEY,Corporate,@Disney,2009-08-20 20:40:59+00:00,9819819,108,142,15822,13261,2047,4179,14,7669909,24148958,442432,935126
0,CISCO SYSTEMS INC,Corporate,@Cisco,2008-08-06 13:54:57+00:00,742509,2802,13025,8535,18712,2249,2270,181,239407,505750,22275,13405
0,UNITEDHEALTH GROUP INC,Corporate,@UnitedHealthGrp,2012-10-31 15:33:18+00:00,39303,625,2423,351,2830,425,290,94,12041,40296,4982,1793
0,CITIGROUP INC,Corporate,@Citi,2009-10-02 23:45:06+00:00,914019,372,2811,3481,14551,3346,688,249,221122,1167962,32817,9158
0,ALTRIA GROUP INC,Corporate,@AltriaNews,2011-03-17 19:08:54+00:00,9924,98,276,177,2233,137,322,24,2084,6668,1374,327
0,ORACLE CORP,Corporate,@Oracle,2007-03-03 23:54:26+00:00,814669,851,13829,7316,16359,4804,1051,265,232189,551495,15428,17855
0,BRISTOL MYERS SQUIBB,Corporate,@bmsnews,2009-04-21 19:31:42+00:00,157105,1097,1385,1869,8618,688,210,299,69037,163890,9398,4190
0,MEDTRONIC PLC,Corporate,@Medtronic,2009-07-01 20:48:12+00:00,83963,396,382,1064,4674,448,1247,96,30264,89549,5228,4815
0,AMGEN INC,Corporate,@Amgen,2009-04-02 22:32:57+00:00,124617,792,2947,1691,8818,2117,629,249,31744,80772,6070,2290
0,GILEAD SCIENCES INC,Corporate,@GileadSciences,2011-06-02 15:32:31+00:00,72753,205,998,937,4087,313,93,54,39290,160647,9423,6915
0,WALMART STORES INC,Corporate,@Walmart,2008-11-03 19:38:44+00:00,1343275,350,13258,5982,206049,652,150921,364,215205,1141421,182034,60905
0,CVS HEALTH CORP,Corporate,@CVSHealth,2010-03-12 20:58:11+00:00,67224,5364,18282,742,8022,1279,3806,77,42570,100389,16736,5149
0,3M CO,Corporate,@3M,2011-09-22 20:12:19+00:00,1361916,4766,19467,1238,3343,854,8323,154,66453,201021,14569,5802
0,ABBVIE INC,Corporate,@abbvie,2012-03-21 03:42:59+00:00,77771,492,2058,1083,7957,288,523,270,46404,103650,4258,2498
