Company,Account Type,Twitter Handle,Year,Original Tweets Year,Retweets Year,Reply Tweets Year,Quote Tweets Year,Original Retweets Year,Original Tweet Likes Year,Original Tweet Replies Year,Original Tweet Quotes Year,Account Creation Date,Account Followers,Account Following,Account Likes,Account Public Lists,Original Tweets Total,Retweets Total,Reply Tweets Total,Quote Tweets Total,Original Tweet Retweets Total,Original Tweet Likes Total,Original Tweet Replies Total,Original Tweet Quotes Total
0,PROSPERITY BANCSHARES INC,Corporate,@PB_USA,2020,3.0,2.0,29.0,3.0,0,1,2,0,2018-06-04 18:53:02+00:00,143,61,14,6,13,8,68,3,7,27,9,0
1,PROSPERITY BANCSHARES INC,Corporate,@PB_USA,2021,3.0,6.0,17.0,0.0,4,11,2,0,2018-06-04 18:53:02+00:00,143,61,14,6,13,8,68,3,7,27,9,0
2,PROSPERITY BANCSHARES INC,Corporate,@PB_USA,2022,7.0,0.0,22.0,0.0,3,15,5,0,2018-06-04 18:53:02+00:00,143,61,14,6,13,8,68,3,7,27,9,0
0,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2009,112.0,0.0,9.0,0.0,0,0,0,0,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
1,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2010,111.0,0.0,37.0,0.0,45,5,0,0,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
2,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2011,251.0,3.0,26.0,0.0,205,28,26,0,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
3,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2012,108.0,6.0,151.0,0.0,105,20,55,0,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
4,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2013,73.0,19.0,43.0,0.0,111,56,52,0,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
5,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2014,431.0,50.0,91.0,0.0,704,790,103,1,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
6,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2015,2503.0,9.0,357.0,7.0,448,905,187,1,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
7,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2016,391.0,0.0,10.0,0.0,346,776,38,42,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
8,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2017,308.0,0.0,29.0,1.0,265,645,18,84,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
9,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2018,393.0,41.0,16.0,1.0,433,1188,47,39,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
10,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2019,745.0,110.0,43.0,16.0,517,1379,63,124,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
11,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2020,395.0,122.0,68.0,8.0,247,1385,74,26,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
12,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2021,231.0,40.0,4.0,0.0,118,415,22,8,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
13,TANGER FACTORY OUTLET CENTERS INC.,Corporate,@TangerOutlets,2022,239.0,0.0,0.0,0.0,672,1298,598,36,2009-04-09 13:10:58+00:00,23700,1390,2729,251,6291,400,884,33,4216,8890,1283,361
0,WEBSTER FINANCIAL CORP.,Corporate,@WebsterBank,2009,13.0,3.0,0.0,0.0,2,1,0,0,2009-03-04 20:31:56+00:00,6050,3703,1951,171,6411,822,2666,37,2224,5247,707,172
1,WEBSTER FINANCIAL CORP.,Corporate,@WebsterBank,2010,54.0,6.0,6.0,0.0,17,1,0,0,2009-03-04 20:31:56+00:00,6050,3703,1951,171,6411,822,2666,37,2224,5247,707,172
2,WEBSTER FINANCIAL CORP.,Corporate,@WebsterBank,2011,792.0,110.0,398.0,0.0,302,32,49,0,2009-03-04 20:31:56+00:00,6050,3703,1951,171,6411,822,2666,37,2224,5247,707,172
