Index,Company,Account Type,Twitter Handle,Year,Original Tweets,Retweets,Reply Tweets,Quote Tweets,Original Tweet Retweets,Original Tweet Likes,Original Tweet Replies,Original Tweet Quotes
0,MICROSOFT CORP,Corporate,@Microsoft,2009,92,14,2,0,46,83,27,17
1,MICROSOFT CORP,Corporate,@Microsoft,2010,495,115,85,0,914,270,16,21
2,MICROSOFT CORP,Corporate,@Microsoft,2011,786,112,121,0,33629,3823,3279,4
3,MICROSOFT CORP,Corporate,@Microsoft,2012,895,635,293,0,22799,4629,6145,11
4,MICROSOFT CORP,Corporate,@Microsoft,2013,975,1127,694,0,61597,27923,17411,60
5,MICROSOFT CORP,Corporate,@Microsoft,2014,841,859,1469,0,98311,105016,18252,310
6,MICROSOFT CORP,Corporate,@Microsoft,2015,388,347,501,4,102958,142698,10731,151
7,MICROSOFT CORP,Corporate,@Microsoft,2016,315,293,110,6,59880,116672,4785,3777
8,MICROSOFT CORP,Corporate,@Microsoft,2017,657,815,68,17,94917,214776,8310,12517
9,MICROSOFT CORP,Corporate,@Microsoft,2018,880,697,90,13,92773,296429,12024,11807
10,MICROSOFT CORP,Corporate,@Microsoft,2019,1232,677,52,9,70097,275650,11214,10812
11,MICROSOFT CORP,Corporate,@Microsoft,2020,27092,482,1789,89,137399,934403,53313,26684
12,MICROSOFT CORP,Corporate,@Microsoft,2021,1535,389,4173,17,174439,1681169,133186,39651
13,MICROSOFT CORP,Corporate,@Microsoft,2022,1282,219,2054,9,72375,643689,66468,14767
0,EXXON MOBIL CORP,Corporate,@exxonmobil,2010,277,17,1,0,379,66,0,0
1,EXXON MOBIL CORP,Corporate,@exxonmobil,2011,269,103,0,0,1090,134,75,0
2,EXXON MOBIL CORP,Corporate,@exxonmobil,2012,205,45,0,0,2402,469,579,0
3,EXXON MOBIL CORP,Corporate,@exxonmobil,2013,208,47,26,0,3679,4024,2114,0
4,EXXON MOBIL CORP,Corporate,@exxonmobil,2014,805,351,19,0,13099,16170,4853,4
5,EXXON MOBIL CORP,Corporate,@exxonmobil,2015,1490,359,143,0,17418,20769,3259,11
6,EXXON MOBIL CORP,Corporate,@exxonmobil,2016,1640,34,573,1,24545,69545,9265,3657
7,EXXON MOBIL CORP,Corporate,@exxonmobil,2017,1002,45,46,14,19933,76804,11155,5014
8,EXXON MOBIL CORP,Corporate,@exxonmobil,2018,564,47,13,7,11031,48810,4154,2050
9,EXXON MOBIL CORP,Corporate,@exxonmobil,2019,239,38,1,6,7358,52519,7131,2519
10,EXXON MOBIL CORP,Corporate,@exxonmobil,2020,345,1,11,17,40056,170239,12569,14382
11,EXXON MOBIL CORP,Corporate,@exxonmobil,2021,549,7,31,7,16062,150348,16703,3664
12,EXXON MOBIL CORP,Corporate,@exxonmobil,2022,809,9,65,0,3848,17739,6505,1207
0,JOHNSON & JOHNSON,Corporate,@JNJNews,2009,269,0,42,0,0,27,0,0
1,JOHNSON & JOHNSON,Corporate,@JNJNews,2010,218,70,40,0,124,26,0,0
2,JOHNSON & JOHNSON,Corporate,@JNJNews,2011,400,148,83,0,426,94,80,0
3,JOHNSON & JOHNSON,Corporate,@JNJNews,2012,665,95,244,0,1941,180,190,0
4,JOHNSON & JOHNSON,Corporate,@JNJNews,2013,685,158,276,0,2452,593,231,0
5,JOHNSON & JOHNSON,Corporate,@JNJNews,2014,949,439,140,1,4937,2685,769,1
6,JOHNSON & JOHNSON,Corporate,@JNJNews,2015,1109,490,61,31,8360,6947,445,2
7,JOHNSON & JOHNSON,Corporate,@JNJNews,2016,811,217,268,9,6887,11608,461,353
8,JOHNSON & JOHNSON,Corporate,@JNJNews,2017,1300,214,195,42,14536,33892,1888,1502
9,JOHNSON & JOHNSON,Corporate,@JNJNews,2018,1096,172,357,27,10188,32149,5061,3080
10,JOHNSON & JOHNSON,Corporate,@JNJNews,2019,638,238,233,18,7825,30132,4016,1837
11,JOHNSON & JOHNSON,Corporate,@JNJNews,2020,556,193,179,24,32787,139778,20143,7921
12,JOHNSON & JOHNSON,Corporate,@JNJNews,2021,301,92,676,16,10421,56146,9484,2880
13,JOHNSON & JOHNSON,Corporate,@JNJNews,2022,223,35,224,15,2319,14871,2126,953
0,GENERAL ELECTRIC,Corporate,@generalelectric,2011,1069,266,2182,1,4513,771,2385,1
1,GENERAL ELECTRIC,Corporate,@generalelectric,2012,1737,115,53819,1,23195,4987,9636,12
2,GENERAL ELECTRIC,Corporate,@generalelectric,2013,2279,131,9167,0,23114,11414,8568,7
3,GENERAL ELECTRIC,Corporate,@generalelectric,2014,1165,80,2723,0,31816,37030,5511,21
4,GENERAL ELECTRIC,Corporate,@generalelectric,2015,1290,84,2063,22,24422,35561,3369,22
